title,director,cast,country,release_year,rating,listed_in,description,runtime
Wonderstruck,Todd Haynes,"Julianne Moore, Oakes Fegley, Millicent Simmonds, Jaden Michael, Cory Michael Smith, Tom Noonan, Michelle Williams",United States,2017,PG,"Drama, Kids","Ben and Rose are children from two different eras who secretly wish their lives were different. Ben longs for the father he has never known, while Rose dreams of a mysterious actress whose life she chronicles in a scrapbook. When Ben discovers a puzzling clue in his home and Rose reads an enticing headline in the newspaper, both children set out on quests that unfold with mesmerizing symmetry.",115
We Were Children,Tim Wolochatiuk,"Rene Batson, Taya Ayotte Bourns, Alice Dano, Justin Ducharme",Canada,2012,13+,Drama,"As young children, Lyna and Glen were taken from their homes and placed in church-run boarding schools. The trauma of this experience was made worse by years of untold physical, sexual and emotional abuse, the effects of which persist in their adult lives. The profound impact of the Canadian government's residential school system is conveyed unflinchingly through their eyes.",83
The Pollinators,Peter Nelson,"Bret Adee, Jack Algiere, Jeff Anderson, Alan Ard, Dan Barber, Leigh-Kathryn Bonner, Zak Browning, Glenn Card, Steve CLarke, Lucas Criswell, William Criswell, James Frazier PhD, Maryann Frazier, Christina Grozinger PhD, Dave Hackenberg, Davey Hackenberg, Bob Harvey, Neil Hinish, Susan Kegley PhD, Jonathon Lundgren PhD, Bill McKibben, Jeffrey Pettis PhD, Samuel Ramsey PhD",United States,2020,13+,Documentary,Billions of honey bees are trucked around the US pollinating crops critical to what we eat. The Pollinators tells the story of this migration with beekeepers and experts who warn that the bees and our food supply are in peril.,93
It's A Wonderful Life,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",United States,1946,PG,"Drama, Fantasy","After George Bailey wishes he had never been born, an angel is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there.",131
Trust Me,Andrew Kazamia,"Craig Ferguson, Shelley Long, Winter Ave Zoli, Cory Pendergast, Enn Reitel",United States,2007,18+,Comedy,"Danny Marrs, a young huckster from small town America, arrives in Hollywood with a line of patter and a wannabe actress girlfriend. Things turn interesting when he meets Joe, a janitor who does great impressions and loves old movies.",97
The Priest,Jofin T. Chacko,"Mammootty, Nikhila Vimal, Manju Warrier",India,2021,NR,"Horror, Suspense","A priest and a police officer are trying to solve a set of mysterious suicides. As their investigation closes in, they discover another crime with even farther-reaching consequences",145
Nocturne,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",United States,2020,16+,Suspense,"Welcome to the Blumhouse! Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.",90
"Jeff, Who Lives at Home","Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Judy Greer, Susan Sarandon, Rae Dawn Chong, Evan Ross",United States,2012,R,"Comedy, Drama",30-year-old slacker (Jason Segel) finds his true destiny as he helps his brother (Ed Helms) stalk his possibly cheating wife in this offbeat comedy about fate and family.,83
Beta,Indra Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani, Anupam Kher, Totaram, Satyendra Kapoor, Bharti Achrekar",India,1992,13+,"Drama, Romance","Raju, heir to millions of riches, is devoted to his manipulative stepmother who, in turn, exploits his love and simplicity and ploys to extort his wealth. But when Raju's newly-wed wife sees through her plan, she staunchly opposes her, which sets off a war of wits between the two women.",158
Plato's Reality Machine,Myles Sorensen,"Trieste Kelly Dunn, Mackenzie Davis, Doug Roland, Carolina Bartczak, Ed Renninger, Heather Shisler, Nathan Spiteri",United States,2013,18+,Science Fiction,"For Charles, video-games are a much-needed escape from reality. But when a virtual vixen leads him on a mysterious quest intertwined with the lovelorn lives of five New Yorkers, they will all learn that in the game of life, every heart is a moving target.",79
Officer,Ram Gopal Varma,"Nagarjuna Akkineni, Myra Sareen",India,2018,13+,"Action, Drama, International","Narayan Pasari is an ace cop in Mumbai. When he is accused of a fake encounter, Shivaji Rao(Nagarjuna), an honest cop from Hyderabad is appointed as the Chief Investigation Officer. Even after Pasari is arrested, he manages to kill all the witnesses and come out on a clean chit. When Pasari himself starts a ruthless mafia company still being a cop, he becomes a tough shell for Shivaji to crack.",116
Jade,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna, Kevin Tighe, Michael Biehn",United States,1995,R,"Drama, Suspense","Corelli is up to his neck in a case that may lead where he doesn't want to go. Chazz Palminteri portrays Matt, an attorney and Corelli's longtime pal. Linda Fiorentino is Matt's wife Trina: a pyschologist who's capable of anything, even murder.",95
Uncle Frank,Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",United States,2020,R,"Comedy, Drama, LGBTQ","In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid.",95
Chemical Hearts,Richard Tanne,"Lili Reinhart, Austin Abrams",United States,2020,R,Drama,"When a hopelessly romantic high school senior (Austin Abrams) falls for a mysterious new classmate (Lili Reinhart), it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",93
Pataakha,Vishal Bhardwaj,"Sanya Malhotra, Radhika Madan, Sunil Grover, Vijay Raaz",India,2018,18+,"Comedy, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them.",131
One Child Nation,"Nanfu Wang, Jialing Zhang",,United States,2019,R,Documentary,"Included with Prime November 8. In the 2019 Sundance U.S. Grand Jury Prize-winning documentary One Child Nation, Chinese-born filmmakers Nanfu Wang (Hooligan Sparrow) and Jialing Zhang expose the devastating consequences of China’s One-Child Policy through the stories of those who lived through it.",88
Anu Menon: Wonder Menon,Naveen Kumar M.N.,Anu Menon,India,2019,16+,"Arts, Entertainment, and Culture","In her first special Wonder Menon, Anu Menon talks about her Gujju husband, her Malayali parents, the mayhem of marriage, motherhood and her traumatic travels.",69
Raabta,Dinesh Vijan,"Kriti Sanon, Sushant Singh Rajput, Deepika Padukone, Rajkummar Rao, Jim Sarbh, Varun Sharma, Nidhi Subbaiah",India,2017,13+,"Drama, International, Romance",A woman crosses paths with her reincarnated lover from a previous lifetime.,144
Saina,Amole Gupte,"Parineeti Chopra, Manav Kaul, Meghna Malik, Shubhrajyoti Barat",India,2021,ALL,"Drama, Sports",World Champion. Olympic Medallist. The Doyen Of Indian Badminton. Saina Nehwal Is All Of This And Much More. This Biopic Chronicles The Inspiring Story Of A Gifted Youngster's Ascendance To The Pinnacle Of The Badminton World Through Sheer Passion And Perseverance - A Journey That Has Since Inspired And Empowered An Entire Nation.,134
Nene Raju Nene Mantri,Teja,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa",India,2017,13+,"Drama, International",NRNM's story is set in Uravakonda village in Rayalaseema. Jogendra (Rana) is a good-natured financier. He loves his wife Radha (Kajal) so much that he rechristens his name as Radha Jogendra. An unfortunate incident involving the village Sarpanch (Pradeep Rawat) and his wife results in Radha’s miscarriage.,151
Roberrt (4K UHD),Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar.",165
Roberrt,Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar.",165
Late Night,Nisha Ganatra,"Emma Thompson, Mindy Kaling, John Lithgow, Paul Walter Hauser, Reid Scott, Amy Ryan",United States,2019,R,"Comedy, Drama","Included with Prime. After almost 30 years, a groundbreaking talk-show host (Emma Thompson) suspects she may soon be losing her coveted seat on late-night television unless she manages a game-changing transformation in Late Night, the first feature film from Emmy-nominated writer and producer Mindy Kaling.",102
Crown Heights,Matt Ruskin,"Ron Canada, Nestor Carbonell, Natalie Paul, Amari Cheatom, Lakeith Stanfield, Marsha Stephanie Blake, Zach Grenier, Bill Camp, Josh Pais, Yul Vazquez",United States,2017,R,Drama,"When Colin Warner is wrongfully convicted of murder, his best friend, Carl King, devotes his life to proving Colin’s innocence. Adapted from This American Life, this is the incredible true story of their harrowing quest for justice.",100
Available,Les Mahoney,"Les Mahoney, Jana Podlipna, Paul Dean, Atoy Wilson, Gerold Wunstel, Mattea D'Amore, Leslie Eckl, Petra Herz",United States,2016,13+,"Action, Drama, Suspense","James Kane receives an unexpected invitation to attend Oktoberfest from an old girlfriend in Germany and is soon plunged into the nightmare world of modern espionage, where he must confront the demons of his past if he is to survive.",73
Winter Warrior,Robbie Moffat,"James Watson, Victoria Pritchard, Ilaria D'Elia, Jon Paul Gates, Ian Stirling",United Kingdom,2003,16+,"Action, Adventure, Drama","In the autumn of 573AD, the eight-year civil war that divides the Celtic nations in post Romano-Britain ends at the battle of Arthuret. Fingal a Celtic mercenary soldier is returning home to his Roman wife, Lillian, who lives with his people of Caledon. Weighed down by his travel bags full of the treasures of war, he rescues the Jewish slave girl, Jessica from her Angle captors.",91
Rohan Joshi: Wake N Bake,Angshuman Ghosh,Rohan Joshi,India,2019,16+,Comedy,"“Hysterical”, “unmissable”, “magnificent” are all words. Wake N Bake, Rohan Joshi’s first stand-up special also has words. Words about life in one’s thirties, mediocre education, home renovation, and 420-friendly living. Some of those words are even funny. It’s an hour of comedy you’ll never forget for five minutes.",57
Adithya Varma,Gireesaaya,"Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu",India,2019,18+,"Drama, International",Adithya Varma a short tempered house surgeon gets into a self-destructive phase addicting to drugs and alcohol when his girlfriend is forced to marry another person.,165
Wajah Tum Ho,Vishal Pandya,"Sana Khaan, Sharman Joshi, Zarine Khan, Sherlyn Chopra, Rajneesh Duggal, Gurmeet Choudhary, Prarthana Behere",India,2016,18+,"International, Suspense",A hooded vigilante is broadcasting murders on a news channel. Will the police catch him alive before he live-casts another death?,131
Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah, Shekhar Kapur, Shernaz Patel, Monica Dogra, Kabir Bedi, Suneel Dutt, Graham Molloy, Ann Marie O'Connor, Richard O'Leary, Warren Renwick, Degnan Geraghty, Maneesh Chandra Bhatt, Abhishek Duhan",India,2016,13+,"Action, Drama, Romance","Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being caught with drugs. Tara calls Raghu for help and now Raghu must help her and find Anirudh Brahman, the stranger who met Tara on Facebook and invited her to Ireland.",100
Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Esha Tewari, Jason Louder, Aneesha Joshi, Mark Justice, Rupinder Nagra, Catherine Dyer, James Cole, Robin Dyke, Alexander Garganera, Timothy Ryan Hickernell, Manda Lee, Yajhayra Maria, Rusty Meyers, Robert Mitchel Owenby, Albert Roberts, Rich Robertson, Jeff Rose, Manesh k Singh",India,2017,13+,"Comedy, Drama","A socially criticized girl who is financially cornered, becomes an outlaw to dodge the situation.",124
Sarbjit,Omung Kumar,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumar, Shiwani Saini, Ankita Shrivastav, Ankur Bhatia, Arbaaz Ali Khan, Ram Murti Sharma, Charanpreet Singh, Trishaan Singh",India,2016,13+,"Drama, International","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced to capital punishment.",126
Noor,Sunhil Sippy,"Sonakshi Sinha, Purab Kohli, Kanan Gill, Shibani Dandekar, Gareth Lawrence, Yulian Shchukin",India,2017,13+,"Action, Comedy, Drama",A journalist's life takes a dramatic turn when she comes across an eye-opening investigative news story.,116
Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Hrishitaa Bhatt, Aneesha Joshi, Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Manann Dania, Gulshan Devaiah, Jaquiline Garewal, Gurpreet Kaur, Ravi Khemu, Sanjay Mehandiratta, Anoop Singh, Herry Tangiri, Khushboo Upadhyay",India,2016,ALL,"Drama, International, Romance","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",122
Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Neha Dhupia, Amrita Singh, Deepak Dobriyal, Sanjana Sanghi, Rajesh Sharma, Tillotama Shome, Vijay Kumar Dogra, Sumit Gulati, Swati Das, Delzad Hiwale, Taran Bajaj, Angad Dev Dogra, Sanjay Suri, Rajiv Gupta, Charu Shankar, Mallika Dua, Fasih Safwi, Jaspal Sharma",India,2017,ALL,"Comedy, Drama, International",A couple want to give their daughter the best education so she will be accepted by the elite.,132
Chef,Raja Menon,"Saif Ali Khan, Padmapriya, Dhanish Karthik, Ram Gopal Bajaj, Riju Bajaj, Pawan Chopra, Sobhita Dhulipala, Raghu Dixit, Svar Kamble, Michael Kelberg, Meghan Lane, Lynn Marocola, Jack Ricardo Miller, Shayan Munshi, Russell Peters, Dinesh Prabhakar, Chandan Roy Sanyal, Neha Saxena, Milind Soman, Tanya Thompson",India,2017,13+,"Comedy, Drama, International",Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.,131
Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sharad Kelkar, Shekhar Suman, Rahul Verma Rajput, Sidhant Gupta, Riddhi Sen, Puru Chibber, Sunny Leone",India,2017,13+,"Action, Drama, International",A revenge drama that centers on the relationship between a father and daughter.,133
Mumbai Saga,Sanjay Gupta,"John Abraham, Emraan Hashmi, Mahesh Manjrekar, Suniel Shetty, Kajal Agarwal, Pratiek Babbar, Gulshan Grover, Amole Gupte, Rohit Bose Roy",India,2021,18+,"Action, Drama","Mumbai Saga is the story of Amartya Rao who takes on the exploitative high and the mighty head-on, snatching his legitimate place under the sun. While on the face of it, Mumbai Saga is the story of the duel between Amartya Rao and Senior Inspector Vijay Sawarkar, it also is the story of hopes, aspirations, friendships and betrayals in the backdrop of early 90s.",126
Ameluk - based on a story which could be true,Mimmo Mancini,"Rosanna Banfi, Paolo Sassanelli, Mehdi Mahdloo Torkaman, Mimmo Mancini, Claudia Lerro, Cosimo Cinieri, Francesca Giaccari, Dante Marmone, Roberto Nobile, Luigi Angiuli, Nadia Kibout, Pascal Zullino, Hedy Krissane, Miloud Mourad Benamara, Michele De Virgilio, Massimo Bagnasco",Italy,2015,13+,Comedy,"It's Good Friday. In Mariotto, a small town in Puglia, the Via Crucis is about to begin but the interpreter of Jesus sits on the crown of thorns. It is the beginning of the ordeal. The lighting technician, Jusuf, replaces him in the role of Christ but he is a Muslim. The news goes around the world, creating a pandemonium among the inhabitants of Mariotto. Who will restore the peace?",98
Manchester by the Sea,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Gretchen Mol, Matthew Broderick",United States,2016,R,Drama,Casey Affleck leads an all-star cast in this acclaimed and poignant film about a solitary janitor whose life is transformed after he becomes the guardian of his 16-year-old nephew.,137
Rock On,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli, Prachi Desai, Shahana Goswami, Koel Purie, Nicolette Bird",India,2008,ALL,"Arts, Entertainment, and Culture, Drama, International","Four talented friends(Farhan Akthar, Purab Kholi, Arjun Rampal and Luke Kenny) pursue their passion making it big as a band, only to fail. Years later, fate brings them together with a second chance. After struggling through the rough patches, Adi, Joe, KD and Rob eventually form the country's best band, Magic and rock the nation with their outstanding live performances.",145
Mike Case in: The Big Kiss Off,Justin Baird,"Les Mahoney, Debra Mayer, Devai Pearce, Atoy Wilson, Dale Shane, Erica Juliet (Ocampo), Suniil Sadarangani, Scott Ganyo, William Mitchell",United States,2013,18+,"Comedy, Suspense","Honest enough to trust. Crooked enough to get the job done. A film noir comedy about a private eye, a husband who wants to stay lost, and a wacky cast of characters.",74
Karwaan,Akarsh Khurana,"Irrfan Khan, Mithila Palkar, Dulquer Salmaan, Kriti Kharbanda",India,2018,13+,"Comedy, Drama, International",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,114
The Manchurian Candidate (2004),Jonathan Demme,"Denzel Washington, Meryl Streep, Liev Schreiber, Jon Voight, Kimberly Elise, Jeffrey Wright, Ted Levine, Bruno Ganz, Simon McBurney, Vera Farmiga",United States,2004,R,"Drama, Science Fiction","As the entire nation watches the presidential campaign hurtle towards Election Day, one soldier (Denzel Washington) races to uncover the conspiracy behind it - a conspiracy that seeks to destroy democracy itself.",130
Brother Nature,"Matt Villines, Oz Rodriguez","Taran Killam, Gillian Jacobs, Bobby Moynihan, Sarah Burns, Bill Pullman, Rita Wilson",United States,2016,R,"Adventure, Comedy",Roger (Taran Killam) a straight-laced politician has big plans to propose to his dream girl (Gillian Jacobs) at her family's lake house. But everything goes awry when he meets his potential brother-in-law Todd (Bobby Moynihan).,97
Guava Island,Hiro Murai,"Donald Glover, Rihanna",United States,2019,13+,"Arthouse, Drama, Suspense","On Guava Island, a local musician is determined to throw a festival for everyone to enjoy. A tropical thriller starring Donald Glover and Rihanna.",56
Voyage to the Planet of Prehistoric Women,Peter Bogdanovich,"Mamie Van Doren, Mary Marr, Paige Lee, Gennadi Vernov, Margot Hartman, Peter Bogdanovich",United States,1968,13+,Science Fiction,"The first expedition to Venus discovers that the planet is inhabited by prehistoric creatures, man-eating plants and a race of beautiful, telepathic women.",80
Goblin,Chris Lee,"Ashley Rene, Joe Cummings, Houston Towe, Weston Banning, David Mason, Patrick Giglio, Phoenix Hernandez, Babe McGuire, Rod Randolph, Wayne Lundy",United States,2020,18+,Horror,A young woman fights to protect her son from her abusive new husband and a ferocious creature lurking in the shadows.,71
At Granny's House,Les Mahoney,"Rachel Alig, Bill Oberst Jr., Les Mahoney, Glenda Morgan Brown",United States,2015,18+,"Horror, Suspense","A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death and love.",87
Without a Paddle: Nature's Calling,Ellory Elkayem,"Oliver James, Kristopher Turner, Amber McDonald, Rik Young, Jerry Rice, Madison Riley",United States,2009,PG-13,"Action, Adventure, Comedy","Zach talks Ben into taking off time to go on an adventure of a lifetime. Our two fiends head out on the river, along with an uptight Brit to find Ben's long lost love.",91
Nizhal,Appu N. Bhattathiri,"Kunchacko Boban, Nayanthara, Divya Prabha",India,2021,ALL,Suspense,"John Baby, who is recouping from a traumatic accident, meets Nitin, a young boy who interests him with murder stories. When Baby explores the possibility of Nitin's stories by mapping the events, it matches with the real-time incidents.",124
Good Newwz,Raj Mehta,"Akshay Kumar, Kareena Kapoor Khan, Diljit Dosanjh, Kiara Advani",India,2019,13+,"Comedy, Drama, International",Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,131
Karnan,Mari Selvaraj,"Dhanush, Lal, Rajisha Vijayan, Yogibabu Nataraja Subramanian",India,2021,13+,"Action, Drama","In 1990s, young man named Karnan in a remote village Tamil Nadu. The shadows and darkness of poverty linger in Karnan’s home where he lives humbly with his mother, father and elder sister. His friend and partner in crime in the village is his grandfather, an old widower, Yeman. It is his sister and Yeman who always stand with Karnan and his glorious dreams. Karnan dreams of joining the Military.",157
"You Belong to Me: Sex, Race and Murder in the South",John Cork,,United States,2015,16+,Documentary,"In 1952 Ruby McCollum, a black woman, killed her white doctor in Live Oak, Fla after years of sexual abuse. The remarkable secrets and terrible truths revealed during her trial and incarceration haunted jurors and prosecutors for decades.",88
I'm Your Woman,Julia Hart,"Rachel Brosnahan, Marsha Stephanie Blake, Arinzé Kene",United States,2020,R,Drama,"In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",120
Saathiya,Shaad Ali,"Rani Mukerji, Tanuja, Satish Shah, Vivek Oberoi, Sandhya Mridul, Swaroop Sampat, Sharat Saxena, Tinnu Anand",India,2002,ALL,"Drama, International, Romance","""Running away from home can’t keep a couple together. Love can. While for most Love Stories, marriage is the goal, the fact remains -marriage is just the beginning. A story of Aditya (Vivek) and Suhani (Rani Mukerji) SAATHIYA continues from where most love stories end. From the infatuation stage when a couple thinks they are in love right through to when they discover the true meaning of love.""",138
Sandeep Aur Pinky Faraar,Dibakar Banerjee,"Parineeti Chopra, Arjun Kapoor, Neena Gupta, Raghubir Yadav, Jaideep Ahlawat",India,2021,13+,"Drama, Romance, Suspense","Sandeep, a bank executive & Pinky, a suspended cop, are marked for a kill. Phones tapped, accounts blocked, they escape but escaping is not freedom.",123
Once Upon a Time in London,Simon Rumley,"Terry Stone, Leo Gregory, Jamie Foreman",United Kingdom,2019,NR,"Action, Drama, Suspense","The violent reign of two of London's most notorious gangsters, Jack 'Spot' Comer and Billy Hill, is grippingly brought to the big screen by visionary director Simon Rumley, in a saga of madness, mayhem and manipulation, reminiscent of British favourites Legend and Peaky Blinders. Starring Leo Gregory (Green Street), Terry Stone (Rise of the Footsoldier) and Jamie Foreman (Layer Cake).",111
Major Ajay Krishna,Anil Ravipudi,"Mahesh Babu, Rashmika Mandanna, Vijayashanti, Prakash Raj, Rajendra Prasad",India,2020,NR,"Action, Comedy, Drama","Ajay Krishnaact (Mahesh Babu) is an orphan and a soldier serving in Kashmir. Professor Bharathi (Vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. How Ajay steps up when she's in trouble forms the crux of the story.",171
Krishnan,Anil Ravipudi,"Mahesh Babu, Rashmika Mandanna, Vijayashanti, Prakash Raj, Rajendra Prasad",India,2020,13+,"Action, Comedy, Drama","Ajay Krishnan (Mahesh Babu) is an orphan and a soldier serving in Kashmir. Professor Bharathi (Vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. How Ajay steps up when she's in trouble forms the crux of the story.",171
Antardwand,Sushil Rajpal,"Swati Sen, Akhilendra Mishra, Himanshi, Raj Singh Chaudhary, Vinay Pathak",India,2010,13+,"Drama, International","Groom Abduction which is so rampant in Bihar, Eastern UP is touched upon in Antardwand. A peep into the reality that is a feudal India refusing to die, it’s a story where everybody involved pays a heavy price for the patriarchal power play. It’s a society rotting while the country surges ahead to be a global power. Antardwand is a film that stokes the thinking viewer’s ire, concern and empathy.",104
Yeh Dillagi,Naresh Malhotra,"Kajol, Akshay Kumar, Saif Ali Khan, Deven Verma, Achyut Potdar, Reema Lagoo, Saeed Jaffrey",India,1994,ALL,"Drama, International, Romance","Sapna (Kajol) was a frequent visitor to the Saigal mansion as her father was a trusted driver of the family. When she is reminded of her social status by the rich brat Vicky Saigal (Saif Ali Khan), she leaves town to make something of herself. She returns as a successful model and Vicky falls for her. The problem - his elder brother Vijay (Akshay Kumar) is already in love with the same girl.",154
Theri,Atlee Kumar,"Vijay, Samantha Ruth Prabhu, Amy Jackson, Baby Nainika, Prabhu, Raadhika Sarathkumar, Rajendran, J.Mahendran",India,2016,ALL,"Action, Drama, International",Joseph (Vijay) lives in a small town of Kerala. He lives with his 6-year old daughter (Baby Nainika as Nivi) and his close ally Rajendran. Annie (Amy Jackson) is Nivi's class teacher who develops an interest over Joseph. This peaceful life of Joseph is shaken when a group of local goons from Kerala crosses path with him.,150
Tashan,Vijay Krishna Acharya,"Akshay Kumar, Anil Kapoor, Kareena Kapoor, Saif Ali Khan, Yashpal Sharma, Sanjay Mishra, Manoj Pahwa",India,2008,16+,"Action, International","A cool call center executive Jimmy Cliff (Saif Ali Khan), a wannabe gangster Bachchan Pande (Akshay Kumar), a beautiful girl Pooja (Kareena Kapoor) who can't be trusted, Bhaiyyaji (Anil Kapoor) a gangster who enjoys killing people as much as he enjoys learning to speak English come together on a journey across India. A journey which will alter the course of their lives in more ways than one.",147
Sketch,Vijay Chandar,"Vikram, Tamannaah, Soori, Baburaj, R.K. Suresh",India,2018,13+,"Action, Drama, International","A man who repossesses cars for a local loan shark makes the mistake of seizing a crazed gangster's prized possession, a vintage Fiat.",131
Silsila,Yash Chopra,"Shashi Kapoor, Amitabh Bachchan, Jaya Bhaduri, Rekha, Sushma Seth, Jagdish Raj, Kulbhushan Kharbanda, Deven Verma, Sanjeev Kumar, Pratima Puri, Ashok Verma, Manek, Kimti Anand, Nirupama Verma, Damyanti Puri, Gauri Shanker, Raj Babbar, Shyam Arora, Ranvir Raj, Vikas Anand, Sharmila Roy Chowdhry, Ravi Dubey, Sudha Chopra",India,1981,7+,"Drama, International, Romance","Amit (Amitabh Bachchan) decides to bury his past life along with his love for Chandni (Rekha) when he meets Shobha (Jaya Bachchan). Shobha's life has come to a standstill after her fiance and Amit’s brother Shekhar (Shashi Kapoor) dies in a crash. When fate brings Amit and Chandni face to face again, both are married to different people - but neither can ignore their feelings for each other.",180
SI 3,Hari,"Suriya, Anushka Shetty, Shruthi Hasan, Soori, Anoop Singh Thakur, Neetu Chandra, Janaki Ganesh, Olamilekan Akanbi Jason, Krish",India,2017,ALL,"Action, International","A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission.",152
Raja The Great,Anil Ravipudi,"Ravi Teja, Mehreen Pirzada, Vivan Bhatena, Prakash Raj, Srinivasa Reddy, Raadhika Sarathkumar, Sampath Raj, Rajendra Prasad, Posani Krishna Murali, Raashi Khanna",India,2017,13+,Drama,"Raja The Great, is a story of a blind man (Ravi Teja) who doesn’t let his disabilities hold him back. Mehreen Pirzaada, plays a girl who loses her parents. Mehreen is threatened by the villain. Raja discovers that the heroine is disappointed with her life and is very unhappy. Rest of the story is how Raja uses his intelligence to unite Mehreen with her family and protects her from the villian.",150
Rab Ne Bana Di Jodi,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Rani Mukerji, Manmeet Singh, Kajol, Bipasha Basu, Lara Dutta, Preity Zinta, Vinay Pathak",India,2008,ALL,"Drama, International, Romance","This is a story of Surinder Sahni (Shahrukh Khan) - a simple, clean hearted, honest man, leading a humdrum life, when he meets his total opposite and finds love in the flamboyant, fun-loving, vivacious - Taani (Anushka Sharma). What follows is a journey filled with laughter, tears, joy, pain, music, dance...that makes us believe that there is an extraordinary love story in every ordinary couple.",164
Raaz Reboot,Vikram Bhatt,"Emraan Hashmi, Gaurav Arora, Kriti Kharbanda",India,2016,NR,"Horror, International","This horror-thriller revolves around Rehaan and Shaina, who are in a complicated relationship as Shaina suspects that Rehaan is keeping a secret from her. Shaina is approached by her ex-boyfriend Aditya who steps in to help her when she begins to experience paranormal activities. As time goes by, Shaina vehemently has a hunch that Aditya isn't genuine, too. Will her instincts prove to be true?",128
Ponmagal Vandhal,JJ Fredrick,"Jyotika, Bhagyaraj, Prathap Potham, Thiagarajan, Parthiban, Pandiarajan, Subbu Panchu",India,2020,18+,"Drama, International","Ponmagal vandhal is set in Ooty in 2020. A local resident named 'Petition' Pethuraj (K.Bhagyaraj) is well known for filing cases against the general public to be in the limelight. Pethuraj reopens a cast which happened way back in 2004, involving a serial killer 'psycho' Jothi who was convicted for kidnapping and murdering five children and two youngsters.",123
P!nk: All I Know So Far,Michael Gracey,,United States,2021,16+,Documentary,"A behind-the-scenes look at P!NK as she balances family and life on the road, leading up to her first Wembley Stadium performance on 2019’s “Beautiful Trauma” world tour.",99
